employee_id,hire_date,department,level,salary,tenure_years,performance_score,projects_completed,hours_worked,bonus_amount
EMP-0001,2024-01-04,Sales,Mid,85042.86,6.2,67.8,8,162,10205.14
EMP-0002,2024-01-07,Finance,Senior,95780.24,2.3,67.8,6,191,10535.83
EMP-0003,2024-01-08,Marketing,Mid,,8.4,68.1,3,165,
EMP-0004,2024-01-09,Marketing,Junior,49707.12,4.8,96.9,3,191,4970.71
EMP-0005,2024-01-12,Engineering,Junior,48144.25,15.0,76.6,6,159,7221.64
EMP-0006,2024-01-12,Engineering,Mid,99678.73,1.3,,6,131,14951.81
EMP-0007,2024-01-16,Engineering,Junior,53841.78,4.4,84.4,0,160,8076.27
EMP-0008,2024-01-20,Finance,Mid,93915.98,1.5,74.9,3,177,10330.76
EMP-0009,2024-01-22,Marketing,Lead,133259.88,2.0,68.9,5,175,13325.99
EMP-0010,2024-01-26,Marketing,Mid,89808.09,3.0,69.6,4,145,8980.81
EMP-0011,2024-01-29,Engineering,Mid,92327.29,6.2,71.1,3,163,13849.09
EMP-0012,2024-01-30,Finance,Mid,87060.44,12.4,71.6,3,224,9576.65
EMP-0013,2024-02-05,HR,Mid,83090.44,4.4,80.7,7,145,6647.24
EMP-0014,2024-02-08,Engineering,Mid,81178.91,1.6,72.6,3,183,12176.84
EMP-0015,2024-02-11,Engineering,Lead,138536.62,1.6,80.8,3,128,20780.49
EMP-0016,2024-02-12,Engineering,Mid,97744.93,4.0,71.0,3,187,14661.74
EMP-0017,2024-02-12,Sales,Lead,165514.69,0.8,72.9,6,152,19861.76
EMP-0018,2024-02-15,Sales,Lead,173041.51,0.4,48.0,3,178,20764.98
EMP-0019,2024-02-19,Sales,Junior,49484.54,1.3,83.0,6,144,5938.14
EMP-0020,2024-02-21,Engineering,Junior,62829.08,1.0,76.2,2,176,9424.36
EMP-0021,2024-02-21,Marketing,Junior,67393.49,1.1,,7,152,6739.35
EMP-0022,2024-02-23,Engineering,Junior,50737.13,0.8,37.2,4,156,7610.57
EMP-0023,2024-02-23,Engineering,Junior,48212.92,0.1,97.1,4,179,7231.94
EMP-0024,2024-02-27,Sales,Mid,91715.86,0.1,70.3,1,161,11005.9
EMP-0025,2024-02-29,Sales,Junior,59388.41,13.2,85.3,5,178,7126.61
EMP-0026,2024-03-12,HR,Junior,65270.23,1.7,59.5,6,166,5221.62
EMP-0027,2024-03-13,Engineering,Senior,99649.98,1.5,79.4,1,171,14947.5
EMP-0028,2024-03-13,Sales,Junior,64245.88,3.4,59.4,5,179,7709.51
EMP-0029,2024-03-15,Marketing,Senior,102371.6,0.7,64.5,5,163,10237.16
EMP-0030,2024-03-17,Engineering,Junior,50350.43,9.0,95.0,1,150,7552.56
EMP-0031,2024-03-18,Marketing,Junior,50363.85,4.6,69.7,3,159,5036.38
EMP-0032,2024-03-19,Engineering,Mid,94066.39,0.3,74.6,4,194,14109.96
EMP-0033,2024-03-23,Engineering,Mid,89286.31,1.6,82.4,1,172,13392.95
EMP-0034,2024-03-26,Finance,Senior,116514.88,6.3,77.9,2,153,12816.64
EMP-0035,2024-03-28,Finance,Senior,109288.54,8.7,73.8,4,178,12021.74
EMP-0036,2024-04-02,HR,Senior,132096.82,1.9,76.4,4,179,10567.75
EMP-0037,2024-04-05,Sales,Junior,55383.79,2.9,100.0,5,180,6646.06
EMP-0038,2024-04-05,Engineering,Junior,64715.19,0.5,71.3,5,150,9707.28
EMP-0039,2024-04-11,Marketing,Senior,112821.94,14.2,74.4,1,156,11282.19
EMP-0040,2024-04-13,Sales,Senior,110085.55,0.8,84.6,4,156,13210.27
EMP-0041,2024-04-16,Engineering,Lead,,8.6,85.3,3,163,
EMP-0042,2024-04-17,Sales,Mid,77644.09,3.1,86.2,3,181,9317.29
EMP-0043,2024-04-18,Engineering,Mid,91923.5,2.8,79.7,6,176,13788.53
EMP-0044,2024-04-19,Finance,Senior,115619.7,2.2,58.3,3,178,12718.17
EMP-0045,2024-04-20,Engineering,Junior,51858.68,0.8,91.6,3,197,7778.8
EMP-0046,2024-04-20,Marketing,Lead,169376.18,0.6,58.2,2,184,16937.62
EMP-0047,2024-04-21,Sales,Senior,110391.21,0.7,75.6,6,167,13246.95
EMP-0048,2024-04-25,Sales,Mid,85393.69,0.6,62.9,4,146,10247.24
EMP-0049,2024-04-25,Sales,Senior,133384.77,4.5,71.2,3,156,16006.17
EMP-0050,2024-04-27,Engineering,Senior,120966.47,1.3,75.9,4,165,18144.97
EMP-0051,2024-05-02,Finance,Junior,49321.76,0.2,75.9,5,187,5425.39
